time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, prev_peer_as, prev_announc_as, path_presence
23:57:00-23:57:04,0,0,0,0,33,51185,50304,1
23:57:05-23:57:09,0,0,0,0,15,51185,50304,1
23:57:10-23:57:14,0,0,0,0,12,51185,50304,1
23:57:15-23:57:19,0,0,0,0,16,51185,50304,1
23:57:20-23:57:24,0,0,0,0,6,51185,50304,1
23:57:25-23:57:29,0,0,0,0,24,51185,50304,1
23:57:30-23:57:34,0,0,0,0,32,51185,50304,1
23:57:35-23:57:39,0,0,0,0,25,51185,50304,1
23:57:40-23:57:44,0,0,0,0,30,51185,50304,1
23:57:45-23:57:49,0,0,0,0,28,51185,50304,1
23:57:50-23:57:54,0,0,0,0,75,51185,50304,1
23:57:55-23:57:59,0,0,0,0,86,51185,50304,1
23:58:00-23:58:04,0,0,0,0,14,51185,50304,1
23:58:05-23:58:09,0,0,0,0,39,51185,50304,1
23:58:10-23:58:14,0,0,0,0,19,51185,50304,1
23:58:15-23:58:19,0,0,0,0,70,51185,50304,1
23:58:20-23:58:24,0,0,0,0,6,51185,50304,1
23:58:25-23:58:29,0,0,0,0,29,51185,50304,1
23:58:30-23:58:34,0,0,0,0,16,51185,50304,1
23:58:35-23:58:39,0,0,0,0,21,51185,50304,1
23:58:40-23:58:44,0,0,0,0,11,51185,50304,1
